tree,asite,site,ROW,COL,REP,SET,mum,dad,selection_type,rot,pith_year,pith_age,clb15,ht15,dbh15,heartwood,sapwood,sapwood_heartwood_ratio,cath,cbth,csab,cmyr,clim,cmono,cathprop,csabprop,fibre,cell,lignin,fath,fbth,fsab,fmyr,flim,fmono,fathprop,fsabprop,capi,cthu,fapi,fthu,clb15,plicatic_acid,gamma_thujaplicin,beta_thujaplicin,beta_thujaplicinol,thujic_acid,methyl_thujate,alpha_thujaplicin,plicatic_acid_PAR_CW,gamma_thujaplicin_PAR_CW,beta_thujaplicin_PAR_CW,beta_thujaplicinol_PAR_CW,thujic_acid_PAR_CW,methyl_thujate_PAR_CW,alpha_thujaplicin_PAR_CW,A,B,C,D,E,F,G,H,I,nezukone,thujaplicatin_methyl_ether,beta_dolabrin,thujaplicins,thujaplicins_PAR_CW,lignans_PAR_CW,Fhat3,HT_BLUP
10031,EAST,1,34,31,7,5,214,402,VOL,0,2000,17,2,840,121,68.348,19.839,0.290264529,38130,9383,3688.6,2892.9,960.7,71034,0.536785201,0.051927246,55.44,15.7,39.5,26240,6443,5402,1191,486,45743,0.573639683,0.118094572,2437,402.1,1149.14049,205.98439,2,0,233.9,96.1,29.6,3132.9,0,248.6,0,9.92,3.33,0.3,14.12,0,9.43,0.96,2.49,2.29,5.48,0.87,14.37,4.88,0.1,7.55,14.93,5.61,0.17,608.2,23.15,22.4,0.15257,27.41682926
10032,EAST,1,30,29,7,1,2,87,VOL,0,2001,16,2,780,116,51.465,26.24,0.509861071,29363,5340,5203.3,3529.1,880.4,58202,0.504501564,0.089400708,54.22,17.67,36.27,27193,4450,8264,1924,522,49884,0.545124689,0.165664341,2239,600,1233.6,350.62857,2,0,266.7,32.4,46.6,3798.6,0,182.7,0,11.7,1.5,0.49,17.12,0,7.06,2.34,2.38,1.71,6.74,0.95,9.26,2.93,0,6.69,5.93,3.24,0.34,528.4,21.09,18.4,0.223478,1.025277965
10033,EAST,1,28,29,17,2,2,241,VOL,0,2000,17,2,760,131,69.651,26.561,0.38134413,28141,9370,3102.2,1950.6,569.2,48391,0.581533756,0.064106962,60.04,20.61,39.26,25744,4916,5565,1819,491,44888,0.573516307,0.123975227,1090,280.7,1128.17044,301.28759,2,0,176.4,34.7,41.2,2239.4,0,145.6,0,7.59,1.4,0.47,10.09,0,5.61,1.24,2.18,1.88,4.62,0.69,14.32,5.02,0.12,15.08,15.06,6.01,0.58,397.9,15.65,21.1,0.143455,-1.391362633
10034,EAST,1,28,32,17,2,1,87,VOL,0,2001,16,2,710,98,36.209,20.256,0.559418929,27615,8489,1956.3,2243.6,669.8,51242,0.538913391,0.038177667,55.06,18.98,35.77,14853,3176,1720,308,174,23410,0.634472448,0.073472875,1279,277.2,369.56727,67.98545,2,0,493.3,96.9,89.6,3106.7,0,440.5,0,19.37,3.38,1.08,14,0,17.51,2.24,1.85,1.41,6.93,0.99,12.32,2.82,0,9.33,19.14,4.53,0.54,1120.3,41.88,21.1,0.172416,-6.947135702
10035,EAST,1,27,29,17,2,95,430,VOL,0,2000,17,2,740,108,40.25,18.37,0.456397516,29105,10898,3162,1786.1,641.3,50897,0.571841169,0.062125469,56.37,20.62,35.56,13037,1494,3255,480,182,21496,0.606484927,0.151423521,1182,237.3,419.175,97.14214,2,0,673.7,124.9,81.4,4023.3,16.2,538.3,0,25.64,4.16,0.99,18.15,0.07,21.1,2.18,2.14,1.53,10.43,0.94,17.11,3.5,0.07,7.08,34.46,3.76,0.47,1418.3,52.36,29.6,0.0848247,35.96807205
10036,EAST,1,26,29,17,2,527,421,VOL,0,2001,16,2,740,87,30.292,15.16,0.500462168,26994,8247,3109.3,1321.2,592.8,48450,0.557151703,0.064175439,56.71,16.04,40.47,17498,1950,4029,605,210,27738,0.63083135,0.145252001,1144,236.6,568.61318,126.28318,2,0,403.5,26,46.8,3615.2,0,189.3,0,16.21,1.22,0.51,16.3,0,7.41,1.77,1.01,0.75,1.29,0.62,9.18,6.52,0.09,12.94,16.2,8.6,0.64,665.6,25.99,11.5,0.2407,19.61506548
10037,EAST,1,25,29,17,2,58,430,VOL,0,2000,17,2,690,110,35.335,18.415,0.521154663,22805,6275,2659.8,1756.4,485.4,41337,0.551684931,0.064344292,57.07,12.32,44.57,18520,2363,3854,747,236,29453,0.628798425,0.130852545,993,265.7,607.97749,140.09325,2,0,334.2,136.6,50.8,3922.7,0,175.1,0,13.69,4.59,0.57,17.69,0,6.46,2.07,2.74,1.75,7.36,1.02,12.86,3.87,0.13,6.55,6.7,2.19,0.62,696.7,25.93,23,-0.130514,1.128565965
10038,EAST,1,23,29,17,1,10,421,VOL,0,2000,17,2,730,126,57.948,26.64,0.45972251,27123,7856,2432.8,2401.1,660.8,50023,0.542210583,0.048633629,56.8,21.07,35.5,21439,2506,2456,807,259,31332,0.684252521,0.078386314,1318,346.9,548.16622,118.19197,2,0,394.8,143.3,76.8,3342.9,0,201.6,0,15.89,4.8,0.91,15.07,0,7.55,1.83,2.53,2.36,12.78,1.78,12.12,2.87,0.17,6.44,9.49,1.82,0.51,816.5,29.66,27.4,0.252362,-8.425295533
10039,EAST,1,22,32,17,1,22,87,HTWD,0,2001,16,2,930,130,66.447,22.824,0.343491805,31887,5897,3016.6,2709.5,757.4,55806,0.571390173,0.05405512,57.78,20.74,36.76,18524,1986,2727,319,201,26579,0.696941194,0.102599797,1634,422.6,457.44314,82.13333,2,0,647.4,218.6,142.1,4140.8,13.1,521.9,0,24.76,7.02,1.78,18.68,0.06,19.07,2.35,4.15,4.88,13.04,1.25,18.21,3.77,0.18,11.86,25.2,6,0.46,1530,53.09,35.3,0.424083,14.09530031
10040,EAST,1,19,30,18,4,243,392,VOL,0,2000,17,2,750,103,51.109,18.981,0.371382731,37177,6380,2268.7,2733.4,690.4,58667,0.633695263,0.038670803,57.79,16.47,41.24,36842,5402,5735,2131,560,57670,0.638841685,0.099445119,1549,339.9,1357.13007,307.85035,2,0,494.5,78.7,70.5,3048.5,0,501.1,0,19.86,2.96,0.8,13.73,0,19.2,2.34,4.97,3.93,14.59,1.66,16.78,5.33,0.14,11.29,26.38,5.45,0.46,1144.8,43.28,36.4,0.139637,-1.352007193
